City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,port elizabeth,-33.918,25.5701,14.6,72,100,2.5,ZA,1730857995
149,yemva,62.59,50.8594,-5.14,98,94,1.25,RU,1730857997
150,crane,31.3974,-102.3501,15.01,22,0,2.67,US,1730857998
151,port mathurin,-19.6833,63.4167,23.91,84,22,9.02,MU,1730857999
152,la mira,18.035,-102.3266,25.14,85,6,1.27,MX,1730858000
153,niquero,20.0431,-77.5828,25.92,90,100,9.17,CU,1730858001
154,saudarkrokur,65.7461,-19.6394,8.52,81,47,6.45,IS,1730858002
155,troitsko-pechorsk,62.7084,56.1964,-11.92,99,86,1.52,RU,1730858003
156,mount pearl,47.5166,-52.7813,1.29,88,40,2.57,CA,1730858004
157,naze,28.3667,129.4833,20.51,61,99,8.14,JP,1730858005
158,meulaboh,4.1363,96.1285,26.04,82,99,2.03,ID,1730858007
159,nar'yan-mar,67.6713,53.087,-6.23,93,23,4.02,RU,1730857959
160,buka,40.8108,69.1986,14.85,85,100,3.98,UZ,1730858009
161,mananjary,-21.2167,48.3333,22.48,88,97,1.34,MG,1730858010
162,vadso,70.0744,29.7487,4.09,75,100,14.4,NO,1730858011
163,magadan,59.5667,150.8,-13.27,66,76,3.88,RU,1730858012
164,marshall,34.3834,-86.3333,22.86,81,100,0.0,US,1730858013
165,yuzhno-kurilsk,44.0306,145.8556,4.29,92,100,2.29,RU,1730858016
166,malabar,-33.9667,151.25,30.48,59,0,6.17,AU,1730858017
167,emiliano zapata,18.8333,-99.1833,20.06,81,8,1.39,MX,1730857890
168,marianna,30.7744,-85.2269,26.02,61,100,0.0,US,1730858019
169,nemuro,43.3236,145.575,4.55,92,100,5.21,JP,1730858020
170,galesburg,40.9478,-90.3712,15.37,96,100,3.09,US,1730858021
171,sitka,57.0531,-135.33,8.94,81,100,8.75,US,1730858023
172,baki,-7.6128,110.7839,29.72,63,88,1.47,ID,1730858024
173,vernon,50.2581,-119.2691,4.74,56,33,1.03,CA,1730858026
174,hithadhoo,-0.6,73.0833,28.11,72,47,3.53,MV,1730858027
175,coquimbo,-29.9533,-71.3436,13.85,88,0,2.06,CL,1730857997
176,corner brook,48.9667,-57.9484,4.09,98,100,1.97,CA,1730857933
177,glace bay,46.1969,-59.957,10.09,96,100,4.12,CA,1730858030
178,geraldton,-28.7667,114.6,21.23,46,100,6.17,AU,1730858032
179,lebu,-37.6167,-73.65,11.39,89,100,3.19,CL,1730858033
180,kerikeri,-35.2268,173.9474,19.52,43,100,2.54,NZ,1730858034
181,tupa,-21.9347,-50.5136,21.6,92,19,4.21,BR,1730857981
182,pirapozinho,-22.2753,-51.5,23.71,83,40,2.57,BR,1730858036
183,boromo,11.75,-2.9333,22.78,26,1,3.15,BF,1730858037
184,ilulissat,69.2167,-51.1,-6.99,73,100,2.06,GL,1730857771
185,trouville-sur-mer,49.3657,0.0804,9.89,100,100,2.57,FR,1730858040
186,longyearbyen,78.2186,15.6401,-2.09,93,75,1.54,SJ,1730858041
187,mejit,10.2753,170.8646,28.68,81,90,9.01,MH,1730858043
188,lashio,22.9333,97.75,18.1,97,100,0.7,MM,1730858044
189,santa ana,33.7456,-117.8678,18.96,66,75,3.09,US,1730857806
190,selfoss,63.9331,-20.9971,7.25,94,100,12.26,IS,1730858046
191,kodiak,57.79,-152.4072,4.73,81,100,8.75,US,1730858047
192,tazovsky,67.4667,78.7,-8.59,94,87,5.42,RU,1730858048
193,umm kaddadah,13.6017,26.6876,21.54,26,4,6.66,SD,1730858049
194,havre,49.5833,0.3333,9.22,100,100,2.57,FR,1730858050
195,minas de marcona,-15.2119,-75.1103,13.66,87,49,6.05,PE,1730858051
196,mitu,1.1983,-70.1733,24.52,82,15,0.62,CO,1730858053
197,villa gesell,-37.2639,-56.973,13.7,56,0,4.5,AR,1730858054
198,ipu,-4.3222,-40.7108,23.74,39,98,1.28,BR,1730858055
199,queenstown,-31.8976,26.8753,7.17,90,100,2.6,ZA,1730858056
200,kosikha,53.3617,84.5822,-0.07,77,95,3.33,RU,1730858057
201,trondheim,63.4305,10.3951,7.03,92,100,0.45,NO,1730858058
202,orkney,-26.9802,26.6727,8.72,41,0,1.47,ZA,1730858059
203,akdepe,42.0551,59.3788,3.87,49,4,8.8,TM,1730858060
204,agustin codazzi,10.0341,-73.2361,23.09,97,45,2.14,CO,1730858061
205,banswada,18.3833,77.8833,21.36,72,39,1.21,IN,1730858063
206,gaigeturi,33.4644,126.3183,15.03,58,40,4.63,KR,1730857959
207,sabang,5.8933,95.3214,26.88,81,100,8.29,ID,1730858065
208,camapua,-19.5314,-54.0439,22.69,93,58,2.08,BR,1730858066
209,road town,18.4167,-64.6167,28.02,78,20,5.66,VG,1730858067
210,nadym,65.5333,72.5167,-5.94,91,100,9.42,RU,1730858068
211,staryye ozinki,51.1786,49.6769,-4.85,88,100,8.97,RU,1730857944
212,varzea da palma,-17.5981,-44.7308,19.9,97,100,0.45,BR,1730858070
213,richards bay,-28.783,32.0377,18.4,70,100,8.14,ZA,1730858072
214,ta`u,-14.2336,-169.5144,25.61,86,100,8.9,AS,1730858073
215,freetown,8.484,-13.2299,25.84,89,40,3.6,SL,1730858074
216,aqadyr,48.2553,72.8483,8.14,97,100,7.2,KZ,1730858075
217,kone,-21.0595,164.8658,26.9,50,82,2.05,NC,1730858076
218,georgetown,5.4112,100.3354,27.96,83,20,1.54,MY,1730857938
